place_name,category,district,latitude,longitude,short_description,image_url,popularity_score,maintenance_score,condition_label,safety_score,crowd_level,senior_friendly,child_friendly,tags,best_visit_time,google_search_query,reviews,sentiment_score,child_score,senior_score,safety_norm,condition_score,crowd_score,sentiment_norm,combined_text,relevance_score
Mysore Palace,palace,Mysuru,12.3052,76.6552,"Historical royal residence of Wodeyars, Indo-Saracenic architecture.",https://source.unsplash.com/800x500/?Mysore%20Palace,95,82,Good,90,High,7,7,"palace,heritage,royal",Oct-Feb,Mysore Palace Karnataka,Amazing architecture|Crowded evenings|Lights are beautiful|Great for history|Must visit,0.88,0.7777777777777778,0.7777777777777778,1.0,0.8,0.2,0.88,"palace,heritage,royal Amazing architecture|Crowded evenings|Lights are beautiful|Great for history|Must visit Historical royal residence of Wodeyars, Indo-Saracenic architecture. palace Mysuru",0.834888888888889
Hampi Virupaksha Temple,temple,Vijayanagara,15.335,76.4601,"UNESCO site, ancient temple from 7th century, active worship.",https://source.unsplash.com/800x500/?Hampi%20Temple,92,70,Good,85,High,6,5,"temple,UNESCO,Hampi",Oct-Feb,Hampi Virupaksha Temple,Beautiful carvings|Heat is intense|Very peaceful|Good guides|Great views,0.86,0.5555555555555556,0.6666666666666666,0.75,0.8,0.2,0.86,"temple,UNESCO,Hampi Beautiful carvings|Heat is intense|Very peaceful|Good guides|Great views UNESCO site, ancient temple from 7th century, active worship. temple Vijayanagara",0.7220000000000001
Jog Falls,waterfall,Shivamogga,14.2298,74.7483,India's second-highest plunge waterfall.,https://source.unsplash.com/800x500/?Jog%20Falls,90,68,Moderate,75,Seasonal,6,7,"waterfall,nature",Jun-Sep,Jog Falls Karnataka,Massive falls|Best in monsoon|Road little rough|Foggy view|Good for families,0.84,0.7777777777777778,0.6666666666666666,0.25,0.5,0.7,0.84,"waterfall,nature Massive falls|Best in monsoon|Road little rough|Foggy view|Good for families India's second-highest plunge waterfall. waterfall Shivamogga",0.49966666666666665
Belur Chennakeshava Temple,temple,Hassan,13.1631,75.8672,Hoysala-era temple famous for detailed stone sculptures.,https://source.unsplash.com/800x500/?Belur%20Temple,85,80,Good,88,Medium,7,6,"temple,Hoysala,heritage",Oct-Feb,Belur Chennakeshava Temple,Outstanding carvings|Not crowded|Great history|Peaceful|Photography allowed,0.87,0.6666666666666666,0.7777777777777778,0.9,0.8,0.5,0.87,"temple,Hoysala,heritage Outstanding carvings|Not crowded|Great history|Peaceful|Photography allowed Hoysala-era temple famous for detailed stone sculptures. temple Hassan",0.8195555555555557
Halebidu Hoysaleswara Temple,temple,Hassan,13.2101,75.9927,12th-century Hoysala temple with intricate carvings.,https://source.unsplash.com/800x500/?Halebidu%20Temple,84,78,Good,87,Medium,6,5,"temple,Hoysala",Oct-Feb,Halebidu Hoysaleswara Temple,Stunning sculptures|Calm place|Informative|Nice stone work|Good ambience,0.85,0.5555555555555556,0.6666666666666666,0.85,0.8,0.5,0.85,"temple,Hoysala Stunning sculptures|Calm place|Informative|Nice stone work|Good ambience 12th-century Hoysala temple with intricate carvings. temple Hassan",0.7900000000000001
Bandipur National Park,wildlife,Chamarajanagar,11.6548,76.6273,"Tiger reserve known for elephants, deer and safaris.",https://source.unsplash.com/800x500/?Bandipur,88,75,Good,70,Medium,5,6,"wildlife,safari,forest",Oct-May,Bandipur National Park,Saw elephants|Safari was good|Dusty roads|Nice forest|Worth it,0.82,0.6666666666666666,0.5555555555555556,0.0,0.8,0.5,0.82,"wildlife,safari,forest Saw elephants|Safari was good|Dusty roads|Nice forest|Worth it Tiger reserve known for elephants, deer and safaris. wildlife Chamarajanagar",0.4451111111111111
Nagarhole National Park,wildlife,Mysuru,12.0437,76.1269,A major wildlife sanctuary with rich biodiversity.,https://source.unsplash.com/800x500/?Nagarhole,86,73,Good,72,Medium,5,6,"wildlife,safari",Oct-May,Nagarhole National Park,Beautiful forest|Animals visible|Calm place|Nice safari|Good weather,0.81,0.6666666666666666,0.5555555555555556,0.1,0.8,0.5,0.81,"wildlife,safari Beautiful forest|Animals visible|Calm place|Nice safari|Good weather A major wildlife sanctuary with rich biodiversity. wildlife Mysuru",0.48311111111111116
Coorg Abbey Falls,waterfall,Kodagu,12.4572,75.704,Popular waterfall in Coorg inside coffee plantations.,https://source.unsplash.com/800x500/?Abbey%20Falls,83,70,Moderate,80,High,7,7,"waterfall,coorg",Oct-Feb,Abbey Falls Coorg,Beautiful walkway|Crowded|Nice photos|Cool weather|Good nature spot,0.8,0.7777777777777778,0.7777777777777778,0.5,0.5,0.2,0.8,"waterfall,coorg Beautiful walkway|Crowded|Nice photos|Cool weather|Good nature spot Popular waterfall in Coorg inside coffee plantations. waterfall Kodagu",0.5438888888888889
Shivanasamudra Falls,waterfall,Mandya,12.287,76.556,Twin segmented waterfalls on the Kaveri River.,https://source.unsplash.com/800x500/?Shivanasamudra,79,65,Moderate,70,Seasonal,6,7,"waterfall,Kaveri",Jun-Sep,Shivanasamudra Falls,Full in monsoon|Nice view|Very crowded|Parking issue|Beautiful nature,0.76,0.7777777777777778,0.6666666666666666,0.0,0.5,0.7,0.76,"waterfall,Kaveri Full in monsoon|Nice view|Very crowded|Parking issue|Beautiful nature Twin segmented waterfalls on the Kaveri River. waterfall Mandya",0.38366666666666666
Badami Cave Temples,heritage,Bagalkot,15.9149,75.6768,Ancient cave temples carved from red sandstone cliffs.,https://source.unsplash.com/800x500/?Badami%20Caves,82,68,Moderate,78,Medium,6,6,"heritage,cave",Oct-Feb,Badami Cave Temples,Great carvings|Hot weather|Nice lake view|Historic site|Good trek,0.79,0.6666666666666666,0.6666666666666666,0.4,0.5,0.5,0.79,"heritage,cave Great carvings|Hot weather|Nice lake view|Historic site|Good trek Ancient cave temples carved from red sandstone cliffs. heritage Bagalkot",0.5263333333333333
Pattadakal,heritage,Bagalkot,15.9474,75.813,UNESCO heritage site of Chalukya temples.,https://source.unsplash.com/800x500/?Pattadakal,81,67,Moderate,80,Medium,6,6,"heritage,UNESCO",Oct-Feb,Pattadakal Karnataka,Very historic|Quiet place|Good architecture|Worth study|Peaceful,0.78,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.78,"heritage,UNESCO Very historic|Quiet place|Good architecture|Worth study|Peaceful UNESCO heritage site of Chalukya temples. heritage Bagalkot",0.5643333333333334
Gokarna Om Beach,beach,Uttara Kannada,14.5174,74.3151,Scenic beach shaped like the Sanskrit 'Om'.,https://source.unsplash.com/800x500/?Om%20Beach,88,60,Moderate,73,High,7,8,"beach,coastal",Oct-Feb,Om Beach Gokarna,Great water|Nice cafes|Crowded|Good waves|Beautiful sunset,0.82,0.8888888888888888,0.7777777777777778,0.15,0.5,0.2,0.82,"beach,coastal Great water|Nice cafes|Crowded|Good waves|Beautiful sunset Scenic beach shaped like the Sanskrit 'Om'. beach Uttara Kannada",0.4112222222222222
Murudeshwar Temple,temple,Uttara Kannada,14.0943,74.489,Famous Shiva temple with 123-ft statue near the sea.,https://source.unsplash.com/800x500/?Murudeshwar,90,72,Good,85,High,7,6,"temple,coastal",Oct-Feb,Murudeshwar Temple,Amazing statue|Great view|Crowded|Spiritual place|Nice beach,0.84,0.6666666666666666,0.7777777777777778,0.75,0.8,0.2,0.84,"temple,coastal Amazing statue|Great view|Crowded|Spiritual place|Nice beach Famous Shiva temple with 123-ft statue near the sea. temple Uttara Kannada",0.7235555555555556
Udupi Sri Krishna Temple,temple,Udupi,13.3409,74.7421,Ancient temple and center of Dvaita philosophy.,https://source.unsplash.com/800x500/?Udupi%20Temple,84,75,Good,90,High,7,6,"temple,udupi",Oct-Feb,Udupi Krishna Temple,Very divine|Clean|Good food|Crowded|Nice experience,0.86,0.6666666666666666,0.7777777777777778,1.0,0.8,0.2,0.86,"temple,udupi Very divine|Clean|Good food|Crowded|Nice experience Ancient temple and center of Dvaita philosophy. temple Udupi",0.8275555555555557
Chitradurga Fort,fort,Chitradurga,14.2251,76.398,Massive fort with ancient structures and hills.,https://source.unsplash.com/800x500/?Chitradurga%20Fort,83,72,Good,78,Medium,6,6,"fort,heritage",Oct-Feb,Chitradurga Fort,Big fort|Good trekking|Hot mid-day|Historic|Good views,0.8,0.6666666666666666,0.6666666666666666,0.4,0.8,0.5,0.8,"fort,heritage Big fort|Good trekking|Hot mid-day|Historic|Good views Massive fort with ancient structures and hills. fort Chitradurga",0.6033333333333334
Bangalore Palace,palace,Bengaluru,12.9987,77.592,Tudor-style palace built in 1878.,https://source.unsplash.com/800x500/?Bangalore%20Palace,82,70,Moderate,88,High,7,6,"palace,architecture",Oct-Mar,Bangalore Palace,Beautiful interiors|Expensive ticket|Royal vibe|Nice gardens|Good photos,0.81,0.6666666666666666,0.7777777777777778,0.9,0.5,0.2,0.81,"palace,architecture Beautiful interiors|Expensive ticket|Royal vibe|Nice gardens|Good photos Tudor-style palace built in 1878. palace Bengaluru",0.7025555555555556
Nandi Hills,hill_station,Chikkaballapur,13.3829,77.683,Popular sunrise viewpoint near Bengaluru.,https://source.unsplash.com/800x500/?Nandi%20Hills,92,65,Moderate,85,High,8,7,"hills,view",Sep-Mar,Nandi Hills,Amazing sunrise|Crowded weekends|Cool breeze|Nice drive|Great views,0.85,0.7777777777777778,0.8888888888888888,0.75,0.5,0.2,0.85,"hills,view Amazing sunrise|Crowded weekends|Cool breeze|Nice drive|Great views Popular sunrise viewpoint near Bengaluru. hill_station Chikkaballapur",0.6561111111111112
Kudremukh,hill_station,Chikkamagaluru,13.1373,75.2538,Lush green mountain famous for trekking.,https://source.unsplash.com/800x500/?Kudremukh,87,70,Good,78,Medium,6,7,"hill,trek",Oct-Feb,Kudremukh Trek,Great trek|Beautiful scenery|Leeches in rain|Tiring|Very green,0.82,0.7777777777777778,0.6666666666666666,0.4,0.8,0.5,0.82,"hill,trek Great trek|Beautiful scenery|Leeches in rain|Tiring|Very green Lush green mountain famous for trekking. hill_station Chikkamagaluru",0.6106666666666667
Somanathapura Temple,temple,Mysuru,12.1856,76.7411,Hoysala-style Keshava temple with carvings.,https://source.unsplash.com/800x500/?Somanathapura,80,76,Good,87,Low,7,6,"temple,Hoysala",Oct-Feb,Somanathapura Temple,Beautiful carvings|Calm place|Not crowded|Historic|Great art,0.84,0.6666666666666666,0.7777777777777778,0.85,0.8,1.0,0.84,"temple,Hoysala Beautiful carvings|Calm place|Not crowded|Historic|Great art Hoysala-style Keshava temple with carvings. temple Mysuru",0.8435555555555556
Ranganathittu Bird Sanctuary,wildlife,Mysuru,12.4193,76.6803,"Riverine bird habitat, boating available.",https://source.unsplash.com/800x500/?Bird%20Sanctuary,78,72,Good,82,Medium,8,8,"wildlife,birds",Nov-Mar,Ranganathittu Bird Sanctuary,Great birds|Nice boat ride|Relaxing|Good guides|Family friendly,0.79,0.8888888888888888,0.8888888888888888,0.6,0.8,0.5,0.79,"wildlife,birds Great birds|Nice boat ride|Relaxing|Good guides|Family friendly Riverine bird habitat, boating available. wildlife Mysuru",0.6924444444444445
Bijapur - Gol Gumbaz,heritage,Vijayapura,16.83,75.715,Monumental mausoleum with the second-largest dome in the world.,https://source.unsplash.com/800x500/?Gol%20Gumbaz,86,68,Moderate,80,Medium,6,5,"gol-gumbaz,heritage",Oct-Feb,Gol Gumbaz Bijapur,Echo chamber is amazing|Stairs steep|Good history|Guide useful|Crowded,0.8,0.5555555555555556,0.6666666666666666,0.5,0.5,0.5,0.8,"gol-gumbaz,heritage Echo chamber is amazing|Stairs steep|Good history|Guide useful|Crowded Monumental mausoleum with the second-largest dome in the world. heritage Vijayapura",0.5650000000000001
Aihole - Temple Complex,heritage,Bagalkot,15.951,75.7458,Ancient cradle of temple architecture with many rock-cut and structural temples.,https://source.unsplash.com/800x500/?Aihole,78,64,Moderate,75,Low,6,5,"aihole,heritage",Oct-Feb,Aihole Karnataka,Architectural gem|Quiet site|Best for study|Few amenities|Nice photography,0.77,0.5555555555555556,0.6666666666666666,0.25,0.5,1.0,0.77,"aihole,heritage Architectural gem|Quiet site|Best for study|Few amenities|Nice photography Ancient cradle of temple architecture with many rock-cut and structural temples. heritage Bagalkot",0.509
Belagavi Fort,heritage,Belagavi,15.855,74.504,Historic fort with layered history under multiple rulers and museums.,https://source.unsplash.com/800x500/?Belagavi%20Fort,72,60,Moderate,70,Low,6,5,"fort,heritage",Oct-Feb,Belagavi Fort,Old fort|Nice walk|Local guides|Limited signage|Clean area,0.71,0.5555555555555556,0.6666666666666666,0.0,0.5,1.0,0.71,"fort,heritage Old fort|Nice walk|Local guides|Limited signage|Clean area Historic fort with layered history under multiple rulers and museums. heritage Belagavi",0.39699999999999996
Gokak Falls,waterfall,Belagavi,16.1306,74.7849,Scenic waterfall with colonial-era suspension bridge and picturesque views.,https://source.unsplash.com/800x500/?Gokak%20Falls,74,62,Moderate,72,Medium,6,7,"waterfall,scenic",Jun-Sep,Gokak Falls Karnataka,Beautiful cascade|Steps to view|Photography spot|Access roads narrow|Pleasant,0.73,0.7777777777777778,0.6666666666666666,0.1,0.5,0.5,0.73,"waterfall,scenic Beautiful cascade|Steps to view|Photography spot|Access roads narrow|Pleasant Scenic waterfall with colonial-era suspension bridge and picturesque views. waterfall Belagavi",0.3976666666666666
